"Source title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Scalable Nanophotonic-Electronic Spiking Neural Networks","L. E. Srouji; Y. -J. Lee; M. B. On; L. Zhang; S. J. B. Yoo","Electrical and Computer Engineering, University of California Davis, Davis, CA, USA; Electrical and Computer Engineering, University of California Davis, Davis, CA, USA; Electrical and Computer Engineering, University of California Davis, Davis, CA, USA; Electrical and Computer Engineering, University of California Davis, Davis, CA, USA; Electrical and Computer Engineering, University of California Davis, Davis, CA, USA",IEEE Journal of Selected Topics in Quantum Electronics,"3 Nov 2022","2023","29","2: Optical Computing","1","13","Spiking neural networks (SNN) provide a new computational paradigm capable of highly parallelized, real-time processing. Photonic devices are ideal for the design of high-bandwidth, parallel architectures matching the SNN computational paradigm. Furthermore, the co-integration of CMOS and photonic elements combineslow-loss photonic devices with analog electronics for greater flexibility of nonlinear computational elements. We designed and simulated an optoelectronic spiking neuron circuit on a monolithic silicon photonics (SiPh) process that replicates useful spiking behaviors beyond the leaky integrate-and-fire (LIF). Additionally, we explored two learning algorithms with the potential for on-chip learning using Mach-Zehnder Interferometric (MZI) meshes as synaptic interconnects. A variation of Random Backpropagation (RPB) was experimentally demonstrated on-chip and matched the performance of a standard linear regression on a simple classification task. In addition, we applied the Contrastive Hebbian Learning (CHL) rule to a simulated neural network composed of MZI meshes for a random input-output mapping task. The CHL-trained MZI network performed better than random guessing but did not match the performance of the ideal neural network (without the constraints imposed by the MZI meshes). Through these efforts, we demonstrate that co-integrated CMOS and SiPh technologies are well-suited to the design of scalable SNN computing architectures.","1558-4542","","10.1109/JSTQE.2022.3217011","Air Force Office of Scientific Research(grant numbers:FA9550-181-1-0186); Office of the Director of National Intelligence(grant numbers:2021-21090200004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928320","Neuromorphic computing;spiking neural networks;nanophotonics;photonic integrated circuits;silicon photonics","Neurons;Photonics;Behavioral sciences;Biology;Wavelength division multiplexing;Optical network units;Neural networks","","9","","82","CCBY","25 Oct 2022","","","IEEE","IEEE Journals"
"An Interpretable Deep Actor–Critic Framework for Automated Propofol Dosing During General Anesthesia","D. Zhang; F. Wang","Guangdong Medical University, Zhanjiang, China; Guangdong Medical University, Zhanjiang, China",IEEE Access,"12 Sep 2025","2025","13","","157175","157190","Administering general anesthesia demands anesthesiologists to concurrently regulate various physiological functions, often under time-critical conditions. The automation of hypnotic drug delivery offers the potential to enhance precision in maintaining optimal sedation levels while allowing clinicians to focus on more complex intraoperative decisions. In this study, we propose a reinforcement learning (RL) framework to guide the real-time administration of propofol, a widely used anesthetic agent. Building upon earlier discrete-action approaches, our model adopts a continuous-action actor-critic architecture. It incorporates a policy network that generates a continuous probability distribution over infusion rates based on dynamic anesthetic state observations, along with a value network that evaluates the desirability of those states. The RL agent is trained on synthetic patient simulations derived from pharmacokinetic and pharmacodynamic (PK/PD) models with randomized parameter sets to ensure robustness across diverse patient profiles. We examine three distinct reward formulations tailored to different clinical objectives and evaluate agent performance in both simulated scenarios and retrospective clinical data from nine surgical cases. To enhance transparency and support clinical adoption, we apply Shapley Additive Explanations (SHAP) to interpret the agent’s dosing rationale. The analysis revealed that dosing decisions were primarily influenced by the level of unconsciousness (LoU) error and predicted effect-site concentration, with LoU target dominating steady-state control. These clinically consistent patterns demonstrate that the agent’s recommendations align with established pharmacological principles, thereby improving clinician trust and interpretability. Experimental results demonstrate that the proposed RL agent surpasses traditional PID controllers in maintaining target sedation levels and aligns closely with anesthesiologist-administered dosages in real cases. This work represents a novel advancement in automated anesthesia control, showcasing the adaptability of reward functions and the integration of interpretability tools to support the development of clinically relevant AI-based drug delivery system.","2169-3536","","10.1109/ACCESS.2025.3605643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11147164","Automated anesthesia;propofol dosing;reinforcement learning;actor–critic framework;continuous drug infusion;pharmacokinetic/pharmacodynamic modeling;clinical decision support;SHAP interpretability;personalized anesthesia control;synthetic patient simulation","Anesthesia;Drugs;Brain modeling;Biomedical monitoring;Pharmacokinetics;Monitoring;Mathematical models;Surgery;Real-time systems;Pharmacodynamics","","","","52","CCBY","3 Sep 2025","","","IEEE","IEEE Journals"
"Deep Reinforcement Learning-Based Scheduling for Multiband Massive MIMO","V. H. L. Lopes; C. V. Nahum; R. M. Dreifuerst; P. Batista; A. Klautau; K. V. Cardoso; R. W. Heath","Institute of Informatics, Federal University of Goiás, Goiânia, Brazil; Department of Computer and Telecommunication Engineering, Federal University of Pará, Belém, Brazil; Wireless Networking and Communications Group, The University of Texas at Austin, Austin, TX, USA; Ericsson Research, Stockholm, Sweden; Department of Computer and Telecommunication Engineering, Federal University of Pará, Belém, Brazil; Institute of Informatics, Federal University of Goiás, Goiânia, Brazil; Department of Electronics and Computer Engineering, North Carolina State University, Raleigh, NC, USA",IEEE Access,"6 Dec 2022","2022","10","","125509","125525","Fifth-generation (5G) cellular communication systems have embraced massive multiple-input-multiple-output (MIMO) in the low- and mid-band frequencies. In a multiband system, the base station can serve different users in each band, while the user equipment can operate only in a single band simultaneously. This paper considers a massive MIMO system where channels are dynamically allocated in different frequency bands. We treat multiband massive MIMO as a scheduling and resource allocation problem and propose deep reinforcement learning (DRL) agents to perform user scheduling. The DRL agents use buffer and channel information to compose their observation space, and the agent’s reward function maximizes the transmitted throughput and minimizes the packet loss rate. We compare the proposed DRL algorithms with traditional baselines, such as maximum throughput and proportional fairness. The results show that the DRL models outperformed baselines obtaining a 20% higher network sum rate and an 84% smaller packet loss rate. Moreover, we compare different DRL algorithms focusing on training time to assess the online implementation of the DRL agents, showing that the best agent needs about 50K training steps to converge.","2169-3536","","10.1109/ACCESS.2022.3224808","Innovation Center, Ericsson Telecom. S.A., Brazil; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9963967","Multiband scheduling;MIMO;DRL-based scheduling;mmWave","Optimization;Massive MIMO;Resource management;Throughput;Observability;Training;Computer architecture;Millimeter wave communication","","8","","72","CCBY","24 Nov 2022","","","IEEE","IEEE Journals"
"Distributed Probabilistic Fuzzy Rule Mining for Clinical Decision Making","S. Sharif; M. -R. Akbarzadeh-T","Department of Computer Engineering, Center of Excellence on Soft Computing and Intelligent Information Processing, Ferdowsi University of Mashhad, Mashhad, Iran; Department of Computer Engineering, Center of Excellence on Soft Computing and Intelligent Information Processing, Ferdowsi University of Mashhad, Mashhad, Iran",Fuzzy Information and Engineering,"22 Mar 2024","2021","13","4","436","459","INTRODUCTION: With the growing size, complexity, and distributivity of databases, efficiency and scalability have become highly desirable attributes of data mining algorithms in decision support systems. OBJECTIVES: This study aims for a computational framework for clinical decision support systems that can handle inconsistent dataset while also being interpretable and scalable. METHODS: This paper proposes a Distributed Probabilistic Fuzzy Rule Mining (DPFRM) algorithm that extracts probabilistic fuzzy rules from numerical data using a self-organizing multi-agent approach. This agent-based method provides better scalability and fewer rules through agent interactions and rule-sharing. RESULTS: The performance of the proposed approach is investigated on several UCI medical datasets. The DPFRM is also used for predicting the mortality rate of burn patients. Statistical analysis confirms that the DPFRM significantly improves burn mortality prediction by at least 3%. Also, the training time is improved by 17% if implemented by a parallel computer. However, this speedup decreases with increased distributivity, due to the added communication overhead. CONCLUSION: The proposed approach can improve the accuracy of decision making by better handling of inconsistencies within the datasets. Furthermore, noise sensitivity analysis demonstrates that the DPFRM deteriorates more robustly as the noise levels increase.","1616-8666","","10.1080/16168658.2021.1978803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478230","Multi-agent systems;probabilistic fuzzy logic;distributed decision making;self-organization;rule extraction;clinical decision support systems","Decision support systems;Training;Uncertainty;Statistical analysis;Sensitivity analysis;Scalability;Distributed databases","","","","61","","22 Mar 2024","","","TUP","TUP Journals"
"PolyVerif: An Open-Source Environment for Autonomous Vehicle Validation and Verification Research Acceleration","R. Razdan; M. İ. Akbaş; R. Sell; M. Bellone; M. Menase; M. Malayjerdi","Florida Polytechnic University, Lakeland, FL, USA; Department of Electrical Engineering and Computer Science, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia; FinEst Smart City Centre of Excellence, Tallinn University of Technology, Tallinn, Estonia; Acclivis Technologies Pvt. Ltd., Maharashtra, Pune, India; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia",IEEE Access,"27 Mar 2023","2023","11","","28343","28354","Validation and Verification (V&V) of Artificial Intelligence (AI) based cyber physical systems such as Autonomous Vehicles (AVs) is currently a vexing and unsolved problem. AVs integrate subsystems in areas such as detection, sensor fusion, localization, perception, and path planning. Each of these subsystems contains significant AI content integrated with traditional hardware and software components. The complexity for validating even a subsystem is daunting and the task of validating the whole system is nearly impossible. Fundamental research in advancing the state-of-the-art for AV V&V is required. However, for V&V researchers, it is exceedingly difficult to make progress because of the massive infrastructure requirements to demonstrate the viability of any solution. This paper presents PolyVerif, the world’s first open-source solution focused on V&V researchers with the objective of accelerating the state-of-the-art for AV V&V research. PolyVerif provides an AI design and verification framework consisting of a digital twin creation process, an open-source AV engine, access to several open-source physics based simulators, and open-source symbolic test generation engines. PolyVerif’s objective is to arm V&V researchers with a framework which extends the state-of-the-art on any one of the many major axes of interest and use the remainder of the infrastructure to quickly demonstrate the viability of their solution. Given its open-source nature, researchers can also contribute their innovations to the project. Using this critical property of open-source environments, the innovation rate of the whole research community to solve these vexing issues can be greatly accelerated. Finally, the paper also presents results from several projects which have used PolyVerif.","2169-3536","","10.1109/ACCESS.2023.3258681","European Union’s Horizon 2020 Research and Innovation Program(grant numbers:856602); European Regional Development Fund, co- funded by the Estonian Ministry of Education and Research(grant numbers:2014-2020.4.01.20-0289); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075634","Autonomous vehicles;validation and verification;modeling and simulation;artificial intelligence","Software engineering;Artificial intelligence;Software algorithms;Inference algorithms;Autonomous vehicles;Hardware;System analysis and design","","18","","44","CCBYNCND","17 Mar 2023","","","IEEE","IEEE Journals"
"Radiation-Hardened—AI-Accelerated Custom IC Design Methodology","V. Gogolou; S. Karipidis; E. Papageorgiou; A. Michailidis; T. Noulis","Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece; Physics Department, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Access,"3 Jun 2025","2025","13","","93869","93882","In this work, a radiation hardened - AI accelerated custom IC design methodology is proposed. The methodology employs reinforcement learning (RL) to optimize the IC design process, integrating radiation dosage performance degradation assessments and radiation-hardened-by-design (RHBD) MOSFET cell implementations at both schematic and layout levels. This approach streamlines the development of radiation-immune silicon products by embedding artificial intelligence to accelerate the design process and advanced radiation hardening strategies directly into the standard design flow. To validate the proposed framework, a charge-sensitive amplifier (CSA) based on a folded-cascode architecture is designed and assessed in a 180 nm standard CMOS process, demonstrating the efficiency of the methodology in radiation-resilient analog front-end systems.","2169-3536","","10.1109/ACCESS.2025.3574058","Deutscher Akademischer Austauschdienst (DAAD)-Projekt Radiation-Hard Integrated Circuits Educational Platform “RADHARD,”; Federal Foreign Office and German Academic Exchange Service (Deutscher Akademischer Austauschdienst) in the framework of the “Hochschulpartnerschaftenmit Griechenland 2023–2025” Action(grant numbers:57647733); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11015949","Radiation hardened;reinforcement learning;design methodology;enclosed layout transistor;post radiation modeling;charge sensitive amplifier","Radiation hardening (electronics);Layout;Transistors;Standards;Capacitance;MOSFET;Reinforcement learning;Integrated circuit modeling;Integrated circuit reliability;Computer architecture","","","","34","CCBY","27 May 2025","","","IEEE","IEEE Journals"
"Low-Carbon Economic Dispatch of Electricity-Heat-Gas Integrated Energy Systems Based on Deep Reinforcement Learning","Y. Zhang; Y. Han; D. Liu; X. Dong","School of Electrical Engineering, Shenyang University of Technology, Shenyang, China; School of Electrical Engineering, Shenyang University of Technology, Shenyang, China; School of Electrical Engineering, Shenyang University of Technology, Shenyang, China; Beijing Ke Dong Co., Ltd., NARI Group Corporation, Beijing, China",Journal of Modern Power Systems and Clean Energy,"22 Nov 2023","2023","11","6","1827","1841","The optimal dispatch methods of integrated energy systems (IESs) currently struggle to address the uncertainties resulting from renewable energy generation and energy demand. Moreover, the increasing intensity of the greenhouse effect renders the reduction of IES carbon emissions a priority. To address these issues, a deep reinforcement learning (DRL)-based method is proposed to optimize the low-carbon economic dispatch model of an electricity-heat-gas IES. In the DRL framework, the optimal dispatch model of the IES is formulated as a Markov decision process (MDP). A reward function based on the reward-penalty ladder-type carbon trading mechanism (RPLT-CTM) is introduced to enable the DRL agents to learn more effective dispatch strategies. Moreover, a distributed proximal policy optimization (DPPO) algorithm, which is a novel policy-based DRL algorithm, is employed to train the DRL agents. The multithreaded architecture enhances the exploration ability of the DRL agents in complex environments. Experimental results illustrate that the proposed DPPO-based IES dispatch method can mitigate carbon emissions and reduce the total economic cost. The RPLT-CTM-based reward function outperforms the CTM-based methods, providing a 4.42% and 6.41% decrease in operating cost and carbon emission, respectively. Furthermore, the superiority and computational efficiency of DPPO compared with other DRL-based methods are demonstrated by a decrease of more than 1.53% and 3.23% in the operating cost and carbon emissions of the IES, respectively.","2196-5420","","10.35833/MPCE.2022.000671","National Natural Science Foundation of China(grant numbers:61102124); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113803","Integrated energy system (IES);carbon trading;optimal dispatch;deep reinforcement learning (DRL);distributed proximal policy optimization","Uncertainty;Carbon dioxide;Economics;Costs;Optimal scheduling;Renewable energy sources;Emissions trading","","18","","49","","1 May 2023","","","SGEPRI","SGEPRI Journals"
"QACM: QoS-Aware xApp Conflict Mitigation in Open RAN","A. Wadud; F. Golpayegani; N. Afraz","School of Computer Science, University College Dublin, Dublin, Ireland; School of Computer Science, University College Dublin, Dublin, Ireland; Bangladesh Institute of Governance and Management, Dhaka, Bangladesh",IEEE Transactions on Green Communications and Networking,"28 Aug 2024","2024","8","3","978","993","The advent of Open Radio Access Network (RAN) has revolutionized the field of RAN by introducing elements of native support of intelligence and openness into the next generation of mobile network infrastructure. Open RAN paves the way for standardized interfaces and enables the integration of network applications from diverse vendors, thereby enhancing network management flexibility. However, control decision conflicts occur when components from different vendors are deployed together. This article provides an overview of various types of conflicts that may occur in Open RAN, with a particular focus on intra-component conflict mitigation among Extended Applications (xApps) in the Near Real Time RAN Intelligent Controller (Near-RT-RIC). A QoS-Aware Conflict Mitigation (QACM) method is proposed that finds the optimal configuration of conflicting parameters while maximizing the number of xApps that have their Quality of Service (QoS) requirements met. We compare the performance of the proposed QACM method with two benchmark methods for priority and non-priority cases. The results indicate that our proposed method is the most effective in maintaining QoS requirements for conflicting xApps.","2473-2400","","10.1109/TGCN.2024.3431945","European Union’s Horizon Europe Research and Innovation Program through the Marie Skłodowska- Curie SE(grant numbers:RE-ROUTE 101086343); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10608140","Open RAN;conflict mitigation;QoS;xApp;Near-RT-RIC","Open RAN;Prevention and mitigation;Quality of service;Radio access networks;Benchmark testing;Computer architecture","","4","","25","CCBY","24 Jul 2024","","","IEEE","IEEE Journals"
"Adaptive deep reinforcement learning-based secure transmission mechanism for underwater wireless sensor networks","X. Liu; H. Wang; F. Mao; S. Wu","Graduate Student studying in the School of Physics and Information Engineering at Minnan Normal University in Fujian, China; Graduate Student studying in the School of Physics and Information Engineering at Minnan Normal University in Fujian, China; Graduate Student studying in the School of Physics and Information Engineering at Minnan Normal University in Fujian, China; School of Information and Electronic Engineering, Liming Vocational University, Quanzhou 362000, China",IEICE Transactions on Communications,"","2025","PP","99","1","12","To address the security challenges of underwater wireless sensor networks (UWSNs) in complex and hostile environments, this paper investigates the physical-layer secrecy performance of the transmitter-receiver link, with particular emphasis on transmission optimization under eavesdropping threats. We formulate a non-linear, non-convex optimization problem that jointly allocates sub-channels and transmission power to maximize the secrecy rate while considering the inherent constraints of underwater acoustic communication. To efficiently solve this problem, we develop a deep reinforcement learning (DRL)-based resource allocation algorithm that integrates a prioritized experience replay mechanism, thereby enhancing learning efficiency and improving optimization performance. Extensive simulations are conducted to assess the convergence and adaptability of the proposed method under varying node densities and maximum transmission power levels. The results demonstrate that the proposed algorithm consistently achieves higher system security, greater stability, and faster convergence compared to several benchmark schemes.","1745-1345","","10.23919/transcom.2025EBP3068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207124","underwater wireless sensor networks;multi-agent reinforcement learning;dueling network architecture;resource allocation;physical layer security","Security;Eavesdropping;Interference;Optimization;Signal to noise ratio;Physical layer security;Mobile nodes;Wireless sensor networks;Underwater communication;Underwater acoustics","","","","","","17 Oct 2025","","","IEICE","IEICE Early Access Articles"
"Autonomous Cooperative Multi-Vehicle System for Interception of Aerial and Stationary Targets","L. A. Tony; S. Jana; V. P. Varun; A. A. Bhise; S. A. M. Varman; B. V. Vidyadhara; M. S. Gadde; R. Krishnapuram; D. Ghose","Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India; Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India; Robert Bosch Center for Cyber-Physical Systems, Indian Institute of Science, Bangalore-560012, India; Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India; Robert Bosch Center for Cyber-Physical Systems, Indian Institute of Science, Bangalore-560012, India; Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India; Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India; Robert Bosch Center for Cyber-Physical Systems, Indian Institute of Science, Bangalore-560012, India; Guidance, Control, and Decision Systems Laboratory (GCDSL), Department of Aerospace Engineering, Indian Institute of Science, Bangalore-560012, India",Field Robotics,"25 Feb 2025","2022","2","","107","146","This paper presents the design, development, and testing of hardware-software systems by the IISc-TCS team for Challenge 1 of the Mohamed Bin Zayed International Robotics Challenge 2020. The goal of Challenge 1 was to grab a ball suspended from a maneuvering UAV and pop balloons anchored to the ground, using suitable manipulators. The important tasks carried out to address this challenge include the design and development of a hardware system with efficient grabbing and popping mechanisms, considering the restrictions in volume and payload, design of accurate target interception algorithms using visual information suitable for outdoor environments, and development of a software architecture for dynamic, multi-agent, aerial systems performing complex tasks. In this paper, we discuss the design of a custom end-effector mounted on a single degree of freedom manipulator, and robust algorithms for the interception of targets in an uncertain environment. Vision-based guidance and tracking strategies are developed based on the concept of pursuit engagement and artificial potential function. The software architecture presented in this work develops an Operation Management System (OMS) architecture that allocates static and dynamic tasks collaboratively among multiple UAVs to perform any given task. An important aspect of this work is that all the systems developed were designed to operate in completely autonomous mode. A detailed description of the architecture along with simulations of complete challenge in the Gazebo environment and field experiment results are also included in this work. The developed hardware-software system is useful for counter-UAV systems and can be used for other applications.","2771-3989","","10.55417/fr.2022005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10876028","cooperative robots;computer vision;motion planning;obstacle avoidance;planning","Autonomous aerial vehicles;Target tracking;Visualization;Robots;Software algorithms;Heuristic algorithms;Hardware;Software architecture;Manipulator dynamics;Feature extraction","","1","","","CCBY","25 Feb 2025","","","FRPS","FRPS Journals"
"Incorporating Online Learning Into MCTS-Based Intention Progression","C. Song; Y. Yao; S. Chan","School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; School of Computer Science, University of Nottingham Ningbo China, Ningbo, China; School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China",IEEE Access,"25 Apr 2024","2024","12","","56400","56413","Agents have been applied to a wide variety of fields, including power systems and spacecraft. Belief-Desire-Intention (BDI) agents, as one of the most widely used and researched architectures, have the advantage of being able to pursue multiple goals in parallel. The problem of deciding “what to do” next at each of the agent’s deliberation cycle is therefore critical for BDI agents, which is defined as the intention progression problem (IPP). Among all existing approaches to IPP, the majority of approaches have overlooked the significance of runtime historical data, thereby limiting the adaptability and decision-making capabilities of agents. In this paper, we propose to incorporate online learning into the current state-of-the-art intention progression approach  $S_{A}$  to overcome the above limitations. This approach not only prevents  $S_{A}$  from consuming computational resources on ineffective and inefficient simulations, but also significantly improves the execution efficiency of the agent. Especially when dealing with large-scale problem domains, this improvement significantly enhances the planning capability of the agents. In particular, we have proposed the  $SA_{Q}$  and  $SA_{L}$  schedulers, both of which can learn how to generate “reasonable” rollouts during the simulation phase of MCTS based on historical simulation data at run time. We compare the performance of our approach with the state-of-the-art  $S_{A}$  in a range of scenarios of increasing difficulty. The results demonstrate that our approaches outperform  $S_{A}$ , both in terms of the number of goals achieved and the computational overhead required.","2169-3536","","10.1109/ACCESS.2024.3390796","National Natural Science Foundation of China(grant numbers:61906168); Zhejiang Provincial Natural Science Foundation of China(grant numbers:LY23F020023); Yongjiang Talent Introduction Program(grant numbers:2022A-234-G); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10504897","BDI agents;intention progression problem;Monte-Carlo tree search;online learning","Simulation;Monte Carlo methods;Decision making;Maintenance;Computational modeling;Taxonomy;Search problems;Electronic learning","","1","","40","CCBYNCND","18 Apr 2024","","","IEEE","IEEE Journals"
"RL-RTree: A Reinforcement Learning-Optimized Dynamic R-Tree for High-Dimensional Spatial Indexing","Y. Peng","School of Mathematics and Computer Application, Shangluo University, Shangluo, China",IEEE Access,"8 Jul 2025","2025","13","","114346","114355","Spatial indexing in high-dimensional dynamic environments faces critical challenges, including the curse of dimensionality and rapid distribution shifts, which degrade the performance of traditional indexes like R*-trees and static learned indexes. We propose RL-RTree, a dynamic R-tree optimization method that integrates Spatial Graph Attention Networks (SGAT) for density-aware embeddings and online reinforcement learning (RL) to adjust query strategies in real-time. The hybrid offline-online architecture decouples embedding learning from runtime policy optimization. Experiments on 10- to 100-dimensional data show that RL-RTree improves query speed by 75.2% and accuracy by 14.3% compared to R*-trees. For dynamic scenarios, it achieves  $3.7\times $  faster recovery than static indexes and maintains 91.3% accuracy under high noise ( $\sigma =0.5$ ). This work bridges the gap between learning-based indexing and real-time adaptive systems, enabling sub-second updates for mission-critical applications like autonomous vehicles and recommendation engines. The interpretable RL policies and SGAT embeddings set a new paradigm for robust high-dimensional indexing.","2169-3536","","10.1109/ACCESS.2025.3583701","Shaanxi Provincial Department of Education Scientific Research Program(grant numbers:24JK0421); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11053811","RL-RTree;dynamic;spatial indexing","Spatial indexes;Optimization;Vehicle dynamics;Real-time systems;Indexing;Adaptation models;Reinforcement learning;Accuracy;Faces;Semantics","","","","22","CCBYNCND","27 Jun 2025","","","IEEE","IEEE Journals"
"Interpretable Machine Learning for Characterization of Focal Liver Lesions by Contrast-Enhanced Ultrasound","S. Turco; T. Tiyarattanachai; K. Ebrahimkheil; J. Eisenbrey; A. Kamaya; M. Mischi; A. Lyshchik; A. E. Kaffas","Department of Electrical Engineering, Eindhoven University of Technology, Eindhoven, AZ, The Netherlands; Department of Radiology, Stanford Medicine, Stanford, CA, USA; Department of Electrical Engineering, Eindhoven University of Technology, Eindhoven, AZ, The Netherlands; Department of Radiology, Thomas Jefferson University, Philadelphia, PA, USA; Department of Radiology, Stanford Medicine, Stanford, CA, USA; Department of Electrical Engineering, Eindhoven University of Technology, Eindhoven, AZ, The Netherlands; Department of Radiology, Thomas Jefferson University, Philadelphia, PA, USA; Department of Radiology, Stanford Medicine, Stanford, CA, USA","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","27 Apr 2022","2022","69","5","1670","1681","This work proposes an interpretable radiomics approach to differentiate between malignant and benign focal liver lesions (FLLs) on contrast-enhanced ultrasound (CEUS). Although CEUS has shown promise for differential FLLs diagnosis, current clinical assessment is performed only by qualitative analysis of the contrast enhancement patterns. Quantitative analysis is often hampered by the unavoidable presence of motion artifacts and by the complex, spatiotemporal nature of liver contrast enhancement, consisting of multiple, overlapping vascular phases. To fully exploit the wealth of information in CEUS, while coping with these challenges, here we propose combining features extracted by the temporal and spatiotemporal analysis in the arterial phase enhancement with spatial features extracted by texture analysis at different time points. Using the extracted features as input, several machine learning classifiers are optimized to achieve semiautomatic FLLs characterization, for which there is no need for motion compensation and the only manual input required is the location of a suspicious lesion. Clinical validation on 87 FLLs from 72 patients at risk for hepatocellular carcinoma (HCC) showed promising performance, achieving a balanced accuracy of 0.84 in the distinction between benign and malignant lesions. Analysis of feature relevance demonstrates that a combination of spatiotemporal and texture features is needed to achieve the best performance. Interpretation of the most relevant features suggests that aspects related to microvascular perfusion and the microvascular architecture, together with the spatial enhancement characteristics at wash-in and peak enhancement, are important to aid the accurate characterization of FLLs.","1525-8955","","10.1109/TUFFC.2022.3161719","NIH/NCI(grant numbers:R01 CA215520); Hanarth Fonds Fellowship for AI in Oncology; KNAW Van Leersum Grant; 4TU Precision Medicine Program, High Tech for a Sustainable Future; Universities of Technology of the Netherlands; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740202","Medical imaging;medical signal and image processing;medical tissue characterization;ultrasound (US) contrast agents","Feature extraction;Lesions;Cancer;Frequency locked loops;Liver;Ultrasonic imaging;Spatiotemporal phenomena","Carcinoma, Hepatocellular;Contrast Media;Humans;Liver;Liver Neoplasms;Machine Learning;Sensitivity and Specificity;Ultrasonography","32","","59","CCBY","23 Mar 2022","","","IEEE","IEEE Journals"
