DOI,Document title,Abstract,REASON
10.1109/IJCNN64981.2025.11228706,RA-Gen: A Controllable Code Generation Framework Using ReAct for Multi-Agent Task Execution,"Code generation models based on large language models (LLMs) have gained wide adoption, but challenges remain in ensuring safety, accuracy, and controllability, especially for complex tasks. Existing methods often lack dynamic integration of external tools, transparent reasoning, and user control over safety. To address these issues, we propose a controllable code generation framework utilizing the ReAct paradigm for multi-agent task execution. This framework is a multi-agent system designed to enable efficient, precise, and interpretable code generation through dynamic interactions between LLMs and external resources. The framework adopts a collaborative architecture comprising four specialized agents: a Planner for task decomposition, a Searcher that leverages the ReAct framework for reasoning and tool integration, a CodeGen agent for accurate code generation, and an Extractor for structured data retrieval. The ReAct-based Searcher alternates between generating reasoning traces and executing actions, facilitating seamless integration of internal knowledge with external tools (such as search engines) to enhance accuracy and user control. Experimental results show the framework’s effectiveness across multiple languages, achieving a 94.8% security rate on the SVEN dataset with CodeQL, outperforming existing approaches. Its transparent reasoning process fosters user trust and improves controllability.",
10.1109/IPDPSW66978.2025.00156,Towards Orchestrating Agentic Applications as FaaS Workflows,"Agentic applications consist of multiple agents that encapsulate tools that can be selected by an Large Language Model (LLM) to execute real-world tasks while also collaborating with other agents to solve complex applications, including scientific tasks. However, creating these agentic applications require substantial user effort, involving model selection, prompt engineering and guardrails. There are also limitation in deploying these applications on cloud platforms. In this early work, we take a step towards addressing these limitations by proposing an intuitive pattern comprising of a planner, executor, evaluator and judge agents to compose these as agentic workflows with simple prompt specifications. We also propose to model these as Function as a Service (FaaS) workflows on public/private clouds to simplify their deployment and outsourcing their orchestration. A preliminary implementation of our AgentX platform provides Python modules for these roles, which are used to compose AWS Step Functions. Our initial results on local machine and AWS using Open AI and Claude show promise in simpler compositions, but also expose challenges due to diverse behavior of LLMs. As future work, we will explore the use of our XFaaS hybrid cloud orchestration platform to deploy these on hybrid public/private clouds to leverage cost arbitrage, and offer flexible and automated selection of model to trade-off latency, accuracy and reliability.",
10.1109/IROS47612.2022.9981440,Learning Neuro-Symbolic Relational Transition Models for Bilevel Planning,"In robotic domains, learning and planning are complicated by continuous state spaces, continuous action spaces, and long task horizons. In this work, we address these challenges with Neuro-Symbolic Relational Transition Models (NSRTs), a novel class of models that are data-efficient to learn, compatible with powerful robotic planning methods, and generalizable over objects. NSRTs have both symbolic and neural components, enabling a bilevel planning scheme where symbolic AI planning in an outer loop guides continuous planning with neural models in an inner loop. Experiments in four robotic planning domains show that NSRTs can be learned very data-efficiently, and then used for fast planning in new tasks that require up to 60 actions and involve many more objects than were seen during training.",
10.1109/IROS47612.2022.9981488,A Hierarchical Deliberative Architecture Framework based on Goal Decomposition,"Performing a complex autonomous mission with a multi-robot system requires to integrate several deliberative approaches to perform task allocation, optimization, and execution control. Implementing such a deliberative architecture is a complex task: it requires the developer to master the decision algorithms themselves (e.g., automated planning models), to have a good knowledge of the involved robotic platforms, and to think about how these elements will be assembled as a system architecture. We propose a framework to help designing such deliberative architectures. The framework relies on the concept of a hierarchical structure of actors, each actor managing goals with specific planning or optimization approaches, and delegating sub-goals to other actors.",
10.1109/IROS51168.2021.9635941,Learning Symbolic Operators for Task and Motion Planning,"Robotic planning problems in hybrid state and action spaces can be solved by integrated task and motion planners (TAMP) that handle the complex interaction between motion-level decisions and task-level plan feasibility. TAMP approaches rely on domain-specific symbolic operators to guide the task-level search, making planning efficient. In this work, we formalize and study the problem of operator learning for TAMP. Central to this study is the view that operators define a lossy abstraction of the transition model of a domain. We then propose a bottom-up relational learning method for operator learning and show how the learned operators can be used for planning in a TAMP system. Experimentally, we provide results in three domains, including long-horizon robotic planning tasks. We find our approach to substantially outperform several baselines, including three graph neural network-based model-free approaches from the recent literature. Video: https://youtu.be/iVfpX9BpBRo. Code: https://git.io/JCT0g",
10.1109/IROS58592.2024.10801627,A Framework for Neurosymbolic Goal-Conditioned Continual Learning in Open World Environments,"In dynamic open-world environments, agents continually face new challenges due to sudden and unpredictable novelties, hindering Task and Motion Planning (TAMP) in autonomous systems. We introduce a novel TAMP architecture that integrates symbolic planning with reinforcement learning to enable autonomous adaptation in such environments, operating without human guidance. Our approach employs symbolic goal representation within a goal-oriented learning framework, coupled with planner-guided goal identification, effectively managing abrupt changes where traditional reinforcement learning, re-planning, and hybrid methods fall short. Through sequential novelty injections in our experiments, we assess our method's adaptability to continual learning scenarios. Extensive simulations conducted in a robotics domain corroborate the superiority of our approach, demonstrating faster convergence to higher performance compared to traditional methods. The success of our framework in navigating diverse novelty scenarios within a continuous domain underscores its potential for critical real-world applications. © 2024 IEEE.",
10.1109/IROS58592.2024.10801900,Behavior Tree Based Decentralized Multi-agent Coordination for Balanced Servicing of Time Varying Task Queues,"In this article, we present a reactive multi-agent coordination architecture for the management of material flows between production/pickup stages and delivery/drop-off stages, in scenarios such as underground mines and automated factory floors. The pickup and delivery stages are modelled as variable task queues, with no a priori information about the inflow into the production queues. The proposed solution coordinates the movement of a group of mobile agents operating between the two stages in a reactive and scalable manner, so that the material is transported from multiple production queues to multiple delivery queues in a balanced/equalized manner. In such a scenario, centralized planners suffer from low reactivity and poor scaling, as the number of agents and number of queues increases. To overcome this problem, we propose a decentralized approach comprising of two separate auction-based task distribution systems for the production and delivery stages, along with behavior-tree based management of agent autonomy and task bidding. Each auction system tracks the length of production/delivery queues and solves the optimal task assignment, based on the bids submitted by the agents. The agents participate in one of the two auction systems at any given time, based on the status of the behavior tree executing the two-stage tasks. We analytically show that the proposed decentralized auctioning approach along with agent autonomy and bidding managed by behavior trees, offers better scalability and reactiveness compared to the centralized approach. The proposed methodology is experimentally validated in a lab environment, in three illustrative material flow management scenarios, using TurtleBot3 robots as agents.",
10.1109/ISGTEurope52324.2021.9639918,Centralized/Decentralized Power Management Strategy for the Distribution Networks based on OPF and Multi-Agent Systems,"This paper proposes a two-stage strategy to enhance the performance of active distribution network (ADN) by optimally controlling the active/reactive power of the distributed generation (DG) to improve the power quality while maintaining the network constraints within the allowable limits. The proposed stages are executed in two-time frames: operational planning and real-time operation. The first stage is a centralized control implemented using optimal power flow (OPF) via particle swarm optimization to dispatch the DGs active/reactive power to minimize the real losses. In the second stage, a decentralized architecture of intelligent agents is proposed using Multi-Agent System (MAS) developed in Java Agent Development Framework (JADE) to manage the network by ensuring that the difference between the power generated from DGs and power consumed by loads is preserved in each zone until the OPF is implemented again in next timestep. To validate the proposed strategy, the IEEE 33-bus distribution network has been used and the results proved the efficacy of the proposed strategy in enhancing the performance and operation of ADNs.",
10.1109/ISGTEUROPE62998.2024.10863570,Crossover-BPSO Driven Multi-Agent Technology for Managing Local Energy Systems,"This article presents a new hybrid algorithm, crossover binary particle swarm optimization (crBPSO), for allocating resources in local energy systems via multi-agent (MA) technology. Initially, a hierarchical MA-based architecture in a grid-connected local energy setup is presented. In this architecture, task specific agents operate in a master-slave manner. Where, the master runs a well-formulated optimization routine aiming at minimizing costs of energy procurement, battery degradation, and load scheduling delay. The slaves update the master on their current status and receive optimal action plans accordingly. Simulation results demonstrate that the proposed algorithm outperforms selected existing ones by 21% in terms average energy system costs while satisfying customers’ energy demand and maintaining the required quality of service.",
10.1109/ISIE45063.2020.9152210,Survey on Security Concepts to Adapt Flexible Manufacturing and Operations Management based upon Multi-Agent Systems,"The increasing digitalization brings new opportunities but also puts new challenges to modern industrial systems. Software agents are one of the key technologies towards self-optimizing factories and are currently used to address the needs of cyber-physical production systems (CPPS). However their interplay in industrial settings needs to be understood better.This paper focusses on securing a cloud infrastructure for multi-agent systems for industrial sites. An industrial site contains multiple production processes that need to communicate with each other and each physical resource is abstracted with a software agent. This volatile architecture needs to be managed and protected from manipulation. The proposed infrastructure presents a security concept for TCP/IP communication between agents, machines, and external networks. It is based on open-source software and tested on a three-node edge cloud controlling a model-plant.",
10.1109/ISoIRS65690.2025.11168047,Research on Task Planning Methods for Embodied Intelligence Based on Large Language Models,"Embodied intelligence, as an interdisciplinary frontier that integrates artificial intelligence and robotics, relies fundamentally on robust task planning capabilities to enable autonomous decision-making in dynamic and complex environments. This paper systematically reviews the methods of embodied intelligence task planning that are grounded in large language models (LLMs), conducting a comprehensive multidimensional analysis across theoretical frameworks, technical pathways, and multi-agent collaboration dynamics. The study reveals that LLMs, through their advanced mechanisms of natural language comprehension, multimodal fusion, and dynamic reasoning, effectively address the inherent limitations of conventional rule-based systems in terms of flexibility, adaptability, and interactivity. The array of single-agent strategies, which encompasses end-to-end planning, phased planning, and dynamic planning, along with the diverse multi-agent collaborative frameworks involving centralized, distributed, and hybrid architectures, collectively establish novel paradigms for task decomposition and execution in intricate real-world scenarios. Furthermore, the paper critically examines key challenges like logical consistency, energy efficiency, and safety verification that impede the widespread use of LLM-based systems, while proposing future directions such as neuro-symbolic hybrid architectures and lightweight model optimization to boost practicality. Notably, these advancements not only strengthen the technical foundations of embodied intelligence but also facilitate smoother integration of intelligent agents into daily life and industrial environments.",
10.1109/ISSE63315.2024.10741086,Emergent Structure in Multi-agent Systems Using Geometric Embeddings,"This work investigates the self-organization of multi-agent systems into closed trajectories, a common requirement in unmanned aerial vehicle (UAV) surveillance tasks. In such scenarios, smooth, unbiased control signals save energy and mitigate mechanical strain. We propose a decentralized control system architecture that produces a globally stable emergent structure from local observations only; there is no requirement for agents to share a global plan or follow prescribed trajectories. Central to our approach is the formulation of an injective virtual embedding induced by rotations from the actual agent positions. This embedding serves as a structure-preserving map around which all agent stabilize their relative positions and permits the use of well-established linear control techniques. We construct the embedding such that it is topologically equivalent to the desired trajectory (i.e., a homeomorphism), thereby preserving the stability characteristics. We demonstrate the versatility of this approach through implementation on a swarm of Quanser QDrone quadcopters. Results demonstrate the quadcopters self-organize into the desired trajectory while maintaining even separation.",
10.1109/ITECAsia-Pacific63159.2024.10738543,Electric Vehicle Charging Guidance Strategy Based on Hierarchical Multi-Agent Deep Reinforcement Learning,"To address effectively the stochastic charging demand of electric vehicles, this paper proposes a charging guidance strategy for electric vehicles based on hierarchical multi-agent deep reinforcement learning. This strategy refines the charging guidance task into a double-layer finite Markov decision process for the complex feature information in the coupled system of electric vehicles, charging stations, and transportation networks. In this architecture, the upper network adopts a centralized learning and decentralized execution strategy, and each electric vehicle is regarded as an independent agent. These agents cooperate in diverse incentives and competitive environments to jointly recommend the best charging station locations. At the same time, the action decision outputs of the upper network are integrated into the state considerations of the lower multi-agents. The lower network adopts the same solution method as the upper network, and the lower multi-agent plans the optimal driving paths based on the latest EV and traffic network states after receiving the upper decision. Further, a multi-agent hybrid Q learning algorithm is introduced to solve the problem, and constraints are imposed on the agent rewards to guide the multi-agent learning. Finally, simulation results validate that the proposed strategy enhances electric vehicle charging efficiency and promotes efficient road network operation.",
10.1109/ITNT52450.2021.9649143,Intelligent System for Adaptive Planning of Targeted Application of Advanced Space Systems for Earth Remote Sensing,"The author has developed an intelligent system for adaptive planning of targeted application of advanced space systems for Earth remote sensing, which is based on the expanded use of the multi-agent approach to managing resources of complex systems. The key concept in this approach is assigning an intelligent software agent to each application for imaging the object of observation. The agent’s goal is to occupy the most advantageous placement in the schedule synthesized in accordance with a variety of optimization criteria. The problem solution is obtained as a result of reaching a consensus in numerous negotiations between agents. Application of this approach to resource management of a space observation system helps quickly draw up the imaging schedule for dozens of satellites and ground stations, as well as thousands of observation objects. The paper provides a brief problem statement and a description of the proposed approach to scheduling applications entering the system. The system architecture with a description of the main services is also proposed. Furthermore, the paper describes results obtained in experimental studies and prospects for further development.",
10.1109/ITNT57377.2023.10139177,Development of a digital twin of plant based on the principles of emergent intelligence,"The paper discusses development of a smart digital twin of plants (DTP) based on the principles of emergent intelligence. The described methodology is part of the approach proposed by the authors earlier. It proposes implementation of a smart DTP as a multilevel complex adaptive system with the use of ontologies and multi-agent technologies. Models for interaction between agents of plant parts and subsystems can provide more accurate planning of each stage of plant growth. The paper describes the architecture of the DTP prototype, as well as a scenario of an experiment with it. Development of methodology will improve the accuracy of real plant simulation and simplify scaling of the system when developing ontological models of new crops.",
10.1109/ITNT60778.2024.10582352,Multiparametric Variety Models in Digital Twin of Plant for Winter Wheat,"The article describes the development of variety models for winter wheat varieties for the digital twin of plants - software for production process simulation of crops based on environmental factors and agronomic characteristics of the crops. Based on the previously developed ontology of crop cultivation, which describes the fundamental concepts and relationships of the production process for any crop, this article provides a description and principles of variety models of winter wheat. These models take into account the genetic characteristics influencing plants under different factors, as well as the specifics of their development, enabling the calculation of an expanding set of parameters for each phenological stage of the wheat crop. The application of such variety models is able due to the existing architecture of the multi-agent model of the digital twin of plants (DTP) and significantly expands the scope and functionality of DTP in terms of predicting the state of crops. Specific parameters of the variety model for the winter wheat variety “Viyuga” are provided, which estimates susceptibility of this variety to various factors. The results of developing variety models are presented, and the prospects for their further application in the DTP are discussed.",
10.1109/ITSC55140.2022.9922515,An Enhanced Graph Representation for Machine Learning Based Automatic Intersection Management,"The improvement of traffic efficiency at urban intersections receives strong research interest in the field of automated intersection management. So far, mostly non-learning algorithms like reservation or optimization-based ones were proposed to solve the underlying multi-agent planning problem. At the same time, automated driving functions for a single ego vehicle are increasingly implemented using machine learning methods. In this work, we build upon a previously presented graph-based scene representation and graph neural network to approach the problem using reinforcement learning. The scene representation is improved in key aspects by using edge features in addition to the existing node features for the vehicles. This leads to an increased representation quality that is leveraged by an updated network architecture. The paper provides an in-depth evaluation of the proposed method against baselines that are commonly used in automatic intersection management. Compared to a traditional signalized intersection and an enhanced first-in-first-out scheme, a significant reduction of traversal duration is observed at varying traffic densities. Finally, the generalization capability of the graph-based representation is evaluated by testing the policy on intersection layouts not seen during training. The model generalizes virtually without restrictions to smaller intersection layouts and within certain limits to larger ones.",
10.1109/ITSC58415.2024.10919634,Mars Planner: Improved Batch Spatio-Temporal Path Planning for Multi-Ackerman Robotic Systems,"This paper introduces an innovative multi-agent path finding (MAPF) system specifically designed for navigating multi-Ackerman robotic systems in intricate environments. The Mars Planner, the proposed solution, enhances path planning by tackling collision-free path challenges encountered by groups of intelligent agents. Our contributions include the development of two key algorithms: the Fast Batch Path Finding (FBPF) and the Batch Spatio-Temporal Path Refinement (BSTPR). FBPF utilizes a hybrid A* approach to generate preliminary coarse paths within free configuration spaces, while BSTPR refines these paths using topological homotopy strategies to optimize time allocation and effectively resolve internal conflicts. Through simulations and physical experiments, we demonstrate significant enhancements in computational efficiency and path quality compared to existing methods. In conclusion, the Mars Planner stands as an efficient solution capable of managing large-scale complexity in real-world applications. It offers a robust and scalable framework suitable for diverse environments and scenarios.",
10.1109/ITSC58415.2024.10919719,TASF: Terrestrial-Aerial Synergistic Framework for a New Generation of Intelligent Transportation,"Terrestrial-Aerial Synergistic Framework (TASF) represents a novel approach to intelligent transportation, integrating terrestrial and aerial vehicles to enhance urban transportation efficiency and capacity. In this paper, we offer an in-depth analysis of TASF, emphasizing its innovative applications in urban transportation, parcel delivery, and emergency response services. TASF incorporates a five-layer architecture comprising perception, communication, planning, control, and interaction. With the five-layer architecture, TASF can achieve effective collaboration among terrestrial and aerial vehicles, encompassing two principal features: terrestrial-aerial synergistic parallel perception and multi-agent parallel management. Parallel perception results from fusing Bird's Eye View (BEV) representations from Unmanned Aerial Vehicles (UAVs) and Unmanned Ground Vehicles (UGVs), whereas decentralized multi-agent management employs foundational models to enhance decision-making capabilities. Additionally, we consider challenges and potential solutions related to TASF, including safety, reliability, energy efficiency, management and integration. TASF marks a paradigm-shifting leap in the realm of intelligent transportation systems, providing a scalable and efficacious solution tailored to the dynamic requirements of urban mobility and emergency services.",
10.1109/IUCC65928.2024.00072,Verify-Agent: Large Language Model Multi-Agent for Intelligent Verification,"An AI agent is an intelligent framework that can perceive, plan and decompose, perform actions, and reflect. The multi-agent mode is a distributed computing mode that collaborates to complete different tasks in a group of AI intelligent agent environments. After discussion, inspection, reasoning, and evaluation, accurate conclusions are drawn. Multi AI intelligent agents play a crucial role in enhancing the performance of large models. Research and optimization of multi-agent architecture provide more perspectives and insights for system architecture design. In network planning, there are various application scenarios for reviewing planning template documents. This paper studies a multi-agent architecture based on open-source large language models, which is applied to planning document templates and data review to enhance the efficiency of processing and analyzing.",
10.1109/LRA.2022.3190076,"SGL: Symbolic Goal Learning in a Hybrid, Modular Framework for Human Instruction Following","This paper investigates human instruction following for robotic manipulation via a hybrid, modular system with symbolic and connectionist elements. Symbolic methods build modular systems with semantic parsing and task planning modules for producing sequences of actions from natural language requests. Modern connectionist methods employ deep neural networks that learn visual and linguistic features for mapping inputs to a sequence of low-level actions, in an end-to-end fashion. The hybrid, modular system blends these two approaches to create a modular framework: it formulates instruction following as symbolic goal learning via deep neural networks followed by task planning via symbolic planners. Connectionist and symbolic modules are bridged with Planning Domain Definition Language. The vision-and-language learning network predicts its goal representation, which is sent to a planner for producing a task-completing action sequence. For improving the flexibility of natural language, we further incorporate implicit human intents with explicit human instructions. To learn generic features for vision and language, we propose to separately pretrain vision and language encoders on scene graph parsing and semantic textual similarity tasks. Benchmarking evaluates the impacts of different components of, or options for, the vision-and-language learning model and shows the effectiveness of pretraining strategies. Manipulation experiments conducted in the simulator AI2THOR show the robustness of the framework to novel scenarios.",
10.1109/LRA.2025.3627381,VLM-SFD: VLM-Assisted Siamese Flow Diffusion Framework for Dual-Arm Cooperative Manipulation,"Dual-arm cooperative manipulation holds great promise for tackling complex real-world tasks that demand seamless coordination and adaptive dynamics. Despite substantial progress in learning-based motion planning, most approaches struggle to generalize across diverse manipulation tasks and adapt to dynamic, unstructured environments, particularly in scenarios involving interactions between two objects such as assembly, tool use, and bimanual grasping. To address these challenges, we introduce a novel VLM-Assisted Siamese Flow Diffusion (VLM-SFD) framework for efficient imitation learning in dual-arm cooperative manipulation. The proposed VLM-SFD framework exhibits outstanding adaptability, significantly enhancing the ability to rapidly adapt and generalize to diverse real-world tasks from only a minimal number of human demonstrations. Specifically, we propose a Siamese Flow Diffusion Network (SFDNet) employs a dual-encoder-decoder Siamese architecture to embed two target objects into a shared latent space, while a diffusion-based conditioning process—conditioned by task instructions—generates two-stream object-centric motion flows that guide dual-arm coordination. We further design a dynamic task assignment strategy that seamlessly maps the predicted 2D motion flows into 3D space and incorporates a pre-trained vision-language model (VLM) to adaptively assign the optimal motion to each robotic arm over time. Experiments validate the effectiveness of the proposed method, demonstrating its ability to generalize to diverse manipulation tasks while maintaining high efficiency and adaptability.",
10.1109/MED61351.2024.10566142,Local Bidding Strategies for Reactive and Scalable Auction-Based Multi-Agent Coordination,"This article proposes local bidding strategies for autonomous agents participating in an auction-based multi-agent coordination system, in order to improve the scalability and reactivity of the architecture in large-scale coordination scenarios. Based on a careful analysis of the reactivity requirements and the computational costs of the central auctioneer (costs for solving Linear Integer Programs) and the local agents (costs for path-planning and task execution), this article explores the idea of each agent bidding for a subset of available tasks that are locally relevant to the agent. Each agent first employs a computationally light euclidean distance-based and percentile-based screening method to choose a subset of available tasks, followed by a more computationally complex, but realistic path-planning based cost-estimation and bidding for the chosen subset. The proposed strategy not only reduces the overall computational cost at the agents, but also at the central auctioneer, by reducing the size of the combinatorial optimization problems and the overall communication requirements of the architecture, thereby improving the scalability and reactivity of the overall system. It is shown that, through a one-time simulation-guided design of the bidding parameters, the improved reactivity and scaling is achieved while retaining the optimality or near-optimality of the resulting task-allocation. The performance of the proposed bidding strategies is evaluated in two large-scale simulation scenarios and the reduction in computational costs and the near-optimality of the task allocation is demonstrated.",
10.1109/MELECON53508.2022.9843001,Designing a Testing Environment for the CAPABLE Telemonitoring and Coaching Platform,"The CAPABLE project has been funded by the European Union to develop a telemonitoring and coaching platform improving the quality of life for cancer patients. The platform, based on a multi agent blackboard architecture, is classified as a medical device according to the current EU regulation. Thus it needs extensive tests before being put into service for the planned clinical trials, which calls for a dedicated simulating and testing environment. Materials and Methods: Coordination in CAPABLE is achieved through the Case Manager, a component able to generate and notify events to other interested agent components. For representing and exchanging health care information we have adopted HL7 FHIR as a semantic interoperability standard. Results: FHIR has been exploited to design a structured history of a real patient affected by renal cell carcinoma. A simulator has been developed for automating the whole testing process represented by specific scenarios of the patient’s history. Conclusions: The simulator relies on the events produced by the Case Manager for coordinating the agents. This proved to be effective in checking that the agents reactions to new data showing up on the blackboard comply with the expected behavior.",
10.1109/MetroAgriFor52389.2021.9628826,farMAS: Multi-Agent based farm activity planning and execution system,"Based on a conceptual model and ontology of a farm, this paper describes a multi-agent architecture for operations management activities (both planning and execution). The approach focusses on the identification of the relevant actors, their roles and the relationship between actors and defines the interactions to support the implementation of an experimental simulator. Cooperative interaction is ensured by governing decision policies, and by considering the farmers expertise in strategical and tactical decisions.The adoption of farMAS is expected to make farming operations more sustainable by helping to use resources efficiently even in particular challenging situations like extreme weather phenomena, the introduction of new, stress-tolerant crop varieties, more controlled use of pesticides, employment of advanced sensing technologies, sharing of farming equipment, the processing of the data obtained with the latter, and the near real-time reaction to it.",
10.1109/MITP.2025.3532388,Bridging the Gap: The Rise of Neurosymbolic Artificial Intelligence in Advanced Computing,"Neurosymbolic artificial intelligence (AI) has emerged as a transformative approach, integrating the reasoning capabilities of symbolic AI with the data-driven nature of neural networks. This article discusses the evolution of AI, identifying the distinct advantages and limitations of symbolic and deep learning methodologies. Neurosymbolic AI aims to leverage the strengths of both approaches to enhance decision-making transparency and efficiency, which are crucial in high-stakes domains like health care and law. We explore techniques like embedding symbolic reasoning within neural architectures and utilizing neural networks for feature extraction. These strategies enable the application of neurosymbolic AI across various sectors, including health-care diagnostics, automated financial advising, and robotics. Case studies demonstrate its potential in improving diagnosis accuracy, ensuring regulatory compliance in finance, and enabling adaptive responses in robotics. The article concludes by highlighting emerging trends that are aimed at refining the interaction between neural and symbolic components, fostering more robust and versatile AI applications. © 2025 IEEE.",
10.1109/MLISE66443.2025.11100192,Advancements in SQL Query Optimization: A Review of Join Order and Index Selection,"Efficient SQL Query Optimization (QO) is a fundamental aspect of database management systems, aimed at enhancing query performance and reducing resource consumption typically involves selecting the most efficient execution plan for a given query, considering factors such as join order, access methods, and the use of indexes. This review paper focuses on two key agents in SQL QO: the Join Order Agent (JOA) and the Index Selection Agent (ISA). The JOA seeks to determine the optimal sequence for joining multiple tables, minimizing intermediate results and improving query execution time. The ISA identifies the most effective indexes to speed up data retrieval, considering various database schema configurations and query patterns. We review existing approaches for both agents, including heuristic-based methods, cost-based models, and machine learning (ML) techniques. The paper also highlights the challenges faced in these areas, such as the scalability of existing methods, the need for dynamic adaptation to changing workloads, and the integration of multiple optimization strategies. Finally, the paper discusses how multi-agent systems (MAS), and hybrid optimization techniques can address these challenges, offering significant improvements in QO for modern relational DBMS.",
10.1109/MMAR49549.2021.9528474,A Novel Software Architecture of Anticipatory Harvesting Robot Teams,"This paper presents a novel application of anticipatory coordination and optimization principles, previously developed for autonomous inspection robot teams. The core tenet behind our research is to build a team of agile and relatively small robots, each equipped with two synergistically operating robotic arms, one arm with a soft gripper, the other arm with a set of cameras and a fruit cutting mechanism, all controlled by innovative anticipatory network (AN) algorithms. This allows the plantation management to efficiently supervise the team, coordinated and optimized by an adaptive anticipatory decision engine. Another key component of the robotic software architecture that allows the team of robots to efficiently harvest soft fruits such as strawberries or raspberries is a package of information fusion algorithms in the world model, associated with a knowledge base and a digital twin of the cover crops. We will show that AN coordination principles ensure the reliable operation of robots in case of communication disturbances or when uncertain or incomplete instructions are entered by the operator in the management and supervision system. The flexible design of the overall robotic architecture will make it possible to further develop the robot teams to respond to additional needs such as harvesting other fruits and working in various horticultural environments.",
10.1109/MNET.2025.3579680,Generative AI-Enhanced Neuro-Symbolic Quantum Architectures for Secure Communications and Networking,"The rapid convergence of generative AI (GAI), neuro-symbolic reasoning, and quantum computing has redefined secure communication and networking. Owing to the massive amounts of data, the need for extensive computing power, and the necessity to find and mitigate threats in real-time, traditional security measures cannot keep up with changing cyber threats as the communication infrastructure becomes more complicated. Therefore, this paper investigates the potential of a GAI-enhanced neuro-symbolic quantum framework for building security systems that are strong, scalable, and self-sufficient. This method improves threat detection, encryption, and real-time adversarial defense by combining symbolic reasoning for logic, deep learning for pattern recognition, and quantum intelligence to accelerate computations. This work has made progress in creating the next generation of secure networks that can automatically and adaptively make security decisions in real-time, providing robust protection in communication environments that change over time. © 1986-2012 IEEE.",
10.1109/NICE65350.2025.11065704,A Grid Cell-Inspired Structured Vector Algebra for Cognitive Maps,"The entorhinal-hippocampal formation is the mammalian brain's navigation system, encoding both physical and abstract spaces via grid cells. This system is well-studied in neuroscience, and its efficiency and versatility make it attractive for applications in robotics and machine learning.While continuous attractor networks (CANs) successfully model entorhinal grid cells for encoding physical space, integrating both continuous spatial and abstract spatial computations into a unified framework remains challenging. Here, we attempt to bridge this gap by proposing a mechanistic model for versatile information processing in the entorhinal-hippocampal formation inspired by CANs and Vector Symbolic Architectures (VSAs), a neuro-symbolic computing framework. The novel grid-cell VSA (GC-VSA) model employs a spatially structured encoding scheme with 3D neuronal modules mimicking the discrete scales and orientations of grid cell modules, reproducing their characteristic hexagonal receptive fields.In experiments, the model demonstrates versatility in spatial and abstract tasks: (1) accurate path integration for tracking locations, (2) spatio-temporal representation for querying object locations and temporal relations, and (3) symbolic reasoning using family trees as a structured test case for hierarchical relationships. © 2025 IEEE.",
10.1109/NMITCON65824.2025.11187968,An Open VLA Powered Robot with ROS2 for Autonomous Elder Care Assistance,"This paper presents a novel robotic system leveraging Vision-Language-Action (VLA) models and ROS2 to autonomously address key needs in eldercare settings. The system interprets spoken commands through OpenAI's Whisper for realtime speech-to-text conversion and SpaCy for natural language understanding, detects objects via a Logitech webcam integrated with the PaliGemma vision-language model, and estimates spatial relationships using Intel's MiDaS monocular depth estimation algorithm. The robotic manipulation subsystem employs MoveIt2 for motion planning and a suction-based end effector for secure grasping, all orchestrated through a modular ROS2 architecture running on an NVIDIA Jetson AGX Orin platform. Experimental evaluations demonstrate a 90.2% task completion rate, 95.3% object detection accuracy, and 2.8-second average response latency across 150 trials with common eldercare objects. This work demonstrates the viability of edge-deployed VLA models for eldercare applications, offering a practical approach to enhancing independence through intuitive, voice-activated robotic assistance.",
10.1109/NOMS57970.2025.11073647,Multi-Agentic Plan-and-Solve Engine for Managing System of Systems via Natural Language,"The management of complex Systems of Systems (SoS) often requires interacting with a variety of heterogeneous user interfaces and APIs across different components. This task becomes especially challenging when trying to dynamically manage resources real-time. In this paper, we propose a novel multi-agent architecture for an intent based solver engine, which leverages Large Language Models (LLMs) to facilitate system management via natural language interactions. Our engine utilizes multiple LLM agents to autonomously plan and execute user-intended tasks across various RESTful microservices, such as querying data or modifying system resources. The architecture is designed to support multimodal user input, offering transparency and explainability by allowing users to review and modify plans and workflow steps during execution. This approach combines LLM reasoning capabilities, prompt engineering, and multi-agentic patterns to automate decision-making while ensuring a high level of control for the user. The paper details the architecture and reference implementation of the proposed engine and showcases its capabilities through a practical use case.",
10.1109/OCEANS58557.2025.11104515,iCADME: A Modular Autonomy Architecture for Robotic Heterogeneous Networks in Communication-Limited Environments,"Autonomy and cooperation are essential features in robotic networks, especially in the underwater domain where communications are severely limited. Robots should be able to carry out any assigned task autonomously, yet cooperate with other robots when allowed to by the environmental conditions. To enable this, there is a growing interest in robotic software solutions which are modular, scalable and easy to test. In this paper, we introduce iCADME, a novel autonomy architecture, which achieves such features thanks to a software eco-system which relies on a hierarchy of tasks, in charge of perception and decision-making, and of behaviour strategies, which act as the interface towards the robot lower level control architecture. The modularity and the attention to the system configuration are instrumental for the user to reuse the software and to expand the task portfolio. Thanks to the strong decoupling between perception/decision-making and action, achieved also with the design of an interface layer with the external middleware, iCADME can be easily integrated with various planning and control systems and with different middleware software. On top of that, a behaviour trees (BTs) mission management system is introduced. BTs enable the building of complex missions by assembling a portfolio of tasks, with features of high modularity and reactivity. All these iCADME's features were succesfully tested during MEDASWAN23 trial. They are a step forward towards the actual use in the field of increasingly cooperative robotic networks.",
