"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Representation Learning and Reinforcement Learning for Dynamic Complex Motion Planning System","C. Zhou; B. Huang; P. Fränti","Machine Learning Group, School of Computing, University of Eastern Finland, Joensuu, Finland; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; Machine Learning Group, School of Computing, University of Eastern Finland, Joensuu, Finland",IEEE Transactions on Neural Networks and Learning Systems,"5 Aug 2024","2024","35","8","11049","11063","Indoor motion planning challenges researchers because of the high density and unpredictability of moving obstacles. Classical algorithms work well in the case of static obstacles but suffer from collisions in the case of dense and dynamic obstacles. Recent reinforcement learning (RL) algorithms provide safe solutions for multiagent robotic motion planning systems. However, these algorithms face challenges in convergence: slow convergence speed and suboptimal converged result. Inspired by RL and representation learning, we introduced the ALN-DSAC: a hybrid motion planning algorithm where attention-based long short-term memory (LSTM) and novel data replay combine with discrete soft actor–critic (SAC). First, we implemented a discrete SAC algorithm, which is the SAC in the setting of discrete action space. Second, we optimized existing distance-based LSTM encoding by attention-based encoding to improve the data quality. Third, we introduced a novel data replay method by combining the online learning and offline learning to improve the efficacy of data replay. The convergence of our ALN-DSAC outperforms that of the trainable state of the arts. Evaluations demonstrate that our algorithm achieves nearly 100% success with less time to reach the goal in motion planning tasks when compared to the state of the arts. The test code is available at https://github.com/CHUENGMINCHOU/ALN-DSAC.","2162-2388","","10.1109/TNNLS.2023.3247160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058085","Intelligent robot;motion planning;reinforcement learning (RL);representation learning","Robots;Planning;Heuristic algorithms;Encoding;Data integrity;Convergence;Face detection;Intelligent robots;Motion planning;Reinforcement learning;Representation learning","","9","","44","CCBY","2 Mar 2023","","","IEEE","IEEE Journals"
"Iterator-Based Temporal Logic Task Planning","S. A. Zudaire; M. Garrett; S. Uchite","Instituto Balseiro, Universidad Nacional de Cuyo, Argentina; CNEA, Argentina; Universidad de Buenos Aires, Buenos Aires, Argentina",2020 IEEE International Conference on Robotics and Automation (ICRA),"15 Sep 2020","2020","","","11472","11478","Temporal logic task planning for robotic systems suffers from state explosion when specifications involve large numbers of discrete locations. We provide a novel approach, particularly suited for task specifications with universally quantified locations, that has constant time with respect to the number of locations, enabling synthesis of plans for an arbitrary number of them. We propose a hybrid control framework that uses an iterator to manage the discretised workspace hiding it from a plan enacted by a discrete event controller. A downside of our approach is that it incurs in increased overhead when executing a synthesised plan. We demonstrate that the overhead is reasonable for missions of a fixed-wing Unmanned Aerial Vehicle in simulated and real scenarios for up to 700000 locations.","2577-087X","978-1-7281-7395-5","10.1109/ICRA40945.2020.9197274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9197274","","Task analysis;Robot sensing systems;Planning;Fires;Unmanned aerial vehicles","","8","","36","IEEE","15 Sep 2020","","","IEEE","IEEE Conferences"
"Impact-Aware Online Motion Planning for Fully-Actuated Bipedal Robot Walking","Y. Gao; X. Da; Y. Gu","Department of Mechanical Engineering, University of Massachusetts Lowell, Lowell, MA, U.S.A; AI and Robotics Research and Development Engineer, Nvidia Coporation; Department of Mechanical Engineering, University of Massachusetts Lowell, Lowell, MA, U.S.A",2020 American Control Conference (ACC),"27 Jul 2020","2020","","","2100","2105","The ability to track a general walking path with specific timing is crucial to the operational safety and reliability of bipedal robots for avoiding dynamic obstacles, such as pedestrians, in complex environments. This paper introduces a motion planner that generates the desired full-body motion in real-time for fully-actuated bipedal robotic walking. The key novelty of the proposed planner lies in its capability of online generation of impact-aware non-periodic motions along general walking paths that respect the discrete impact behaviors. The planner is derived based on full-order modeling of hybrid walking dynamics and the proposed construction of keyframe posture library. Simulation results of a three-dimensional bipedal robot are presented to confirm the effectiveness of the proposed planner in generating full-body motions for each walking step within 0.6 second.","2378-5861","978-1-5386-8266-1","10.23919/ACC45564.2020.9147498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9147498","","Legged locomotion;Planning;Dynamics;Robot kinematics;Libraries;Foot","","4","","23","","27 Jul 2020","","","IEEE","IEEE Conferences"
"Design and Transparency Assessment of a Gait Rehabilitation Robot With Biomimetic Knee Joints","P. K. Jamwal; S. Dauletbayev; D. Sagidoldin; D. Keikibayev; A. Niyetkaliyev; S. Hussain; S. K. Agrawal","School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan; Robotics and Artificial Intelligence LLP, Nazarbayev University, Astana, Kazakhstan; Robotics and Artificial Intelligence LLP, Nazarbayev University, Astana, Kazakhstan; Robotics and Artificial Intelligence LLP, Nazarbayev University, Astana, Kazakhstan; School of Engineering and Digital Sciences, Nazarbayev University, Astana, Kazakhstan; School of Information Technology and Systems, University of Canberra, Canberra, ACT, Australia; Department of Mechanical Engineering, Columbia University, New York, NY, USA",IEEE Transactions on Medical Robotics and Bionics,"28 Feb 2025","2025","7","1","290","302","Robotic exoskeletons are being increasingly used in clinics for the treatment of medicable disabilities. These exoskeletons, which closely couple with patients’ limbs, need to move in harmony with the endoskeleton motions. To achieve coordination, exoskeletons should be transparent; in other words, they should not interfere with natural human motion or their underlying coordination strategies. Transparency can be achieved through a bio-inspired exoskeleton design and also by implementing appropriate force control methods to maneuver exoskeleton motions. A new hybrid active-passive Gait Exoskeleton-Assisted Rehabilitation (GEAR) robot is presented here for the rehabilitation of lower limb disabilities. The GEAR robot is designed to enhance transparency incorporating a flexible hip joint and a biomimetic knee joint. The proposed GEAR robot also integrates a Remote Centered Motion (RCM) based passive mechanism to support torso and pelvic motions in two planes and features actuated exoskeleton legs in the sagittal plane for treadmill-assisted walking. The exoskeleton legs are actuated at their hip and knee joints using backdrivable actuators. To provide a natural walking experience, the hip joints of the exoskeleton legs offer two passive degrees of freedom in the frontal and transverse planes in addition to the actuated sagittal plane motion. The biomimetic design of the exoskeleton knee joint ensures alignment with the human anatomical knee joint by closely tracking the latter’s instantaneous center of rotation (ICR). To evaluate GEAR robot’s transparency, a comparative study was conducted, involving three healthy subjects. The participants walked freely on a treadmill and then with the GEAR robot operated first in a completely backdrivable (i.e., passive) mode and subsequently in an active mode. The sEMG data collected during these experiments were analyzed to assess robot’s transparency.","2576-3202","","10.1109/TMRB.2024.3504002","World Bank and the Government of the Republic of Kazakhstan under the framework of the “Gait Rehabilitation Using Exoskeleton Assisted Technology” financed through the Project “Stimulating Productive Innovation”(grant numbers:6514); Nazarbayev University through the Faculty-Development Competitive Research Grants Program for 2024–2026(grant numbers:201223FD8813); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10759858","Gait rehabilitation;gait exoskeleton assisted rehabilitation (GEAR);robot transparency;natural walking;and self-alignment","Robots;Exoskeletons;Legged locomotion;Robot kinematics;Knee;Gears;Hip;Biomimetics;Assistive robots;Torso","","4","","65","IEEE","21 Nov 2024","","","IEEE","IEEE Journals"
"Task and Motion Planning of Service Robot Arm in Unknown Environment Based on Virtual Voxel-Semantic Space","L. Wang; X. Wang; J. Huang; M. Liu","College of Intelligent Systems Science and Engineering, Harbin Engineering University, Harbin, Heilongjiang, China; College of Intelligent Systems Science and Engineering, Harbin Engineering University, Harbin, Heilongjiang, China; College of Intelligent Systems Science and Engineering, Harbin Engineering University, Harbin, Heilongjiang, China; College of Intelligent Systems Science and Engineering, Harbin Engineering University, Harbin, Heilongjiang, China",IEEE Transactions on Cognitive and Developmental Systems,"4 Jun 2025","2025","17","3","564","576","A task and motion planning method for service robot arm based on 3-D voxel-semantic maps is proposed, which can realize virtual environment mapping, manipulator planning, and grasping tasks in unknown environments. First of all, a complete point cloud scene is obtained and spliced. Mask region-based convolutional neural network (RCNN) network is used to complete object detection and instance segmentation. A voxel-semantic hybrid map composed of 3-D point cloud, semantic information, and 3-D computer aided design (CAD) model is constructed. Second, an improved A* algorithm is proposed to plan the optimal path of robot arm end-effector. The Bezier curve interpolation is introduced to obtain the smooth trajectory. Third, the grasping poses of the robot gripper corresponding to different geometries are explored. Semantic-driven spatial task planning is achieved by decomposing robotic arm pick and place tasks. Finally, the effectiveness and rapidity of the proposed algorithm are verified in virtual space and real physical space, respectively.","2379-8939","","10.1109/TCDS.2024.3489773","National Natural Science Foundation of China(grant numbers:62173103,52171299); Fundamental Research Funds for the Central Universities of China(grant numbers:3072024XX0403); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10742332","Robot arm;semantic;task and motion planning;virtual space;voxel","Robots;Manipulators;Planning;Three-dimensional displays;Semantics;Robot kinematics;Solid modeling;Service robots;Training;Trajectory","","1","","50","IEEE","4 Nov 2024","","","IEEE","IEEE Journals"
"Application of a Model-Driven Approach to the Development of Distributed Simulations: the ESA HRAF Case","A. D’Ambrogio; P. Bocciarelli; J. Delfa; A. Kisdi","Department of Enterprise Engineering, University of Rome Tor Vergata, Rome, Italy; Department of Enterprise Engineering, University of Rome Tor Vergata, Rome, Italy; ESA-ECSAT Harwell Campus Didcot, Oxfordshire, UK; GMV Harwell Campus Didcot, Oxfordshire, UK",2020 Spring Simulation Conference (SpringSim),"3 Sep 2020","2020","","","1","12","The development of complex autonomous robotic systems is critical for building future planetary exploration missions at the European Space Agency (ESA). In this context, ESA started the Harwell Robotics and Autonomy Facility (HRAF) project, whose main objective is to provide an effective support for the integration, validation and verification of autonomy components. The HRAF architecture is founded on both HLA (High Level Architecture) as a distributed simulation middleware, and the Distributed Simulation Engineering and Execution Process (DSEEP) as the adopted reference process for building HLA-based simulations. The current Pilot 3 phase of the HRAF development plan deals with the development and validation of a model-driven framework for supporting the semi-automated generation of HLA-based simulations. In this respect, this paper illustrates how model-driven approaches and technologies have been investigated and applied to achieve the HRAF Pilot 3 goals, along with the related implementation and validation issues.","","978-1-56555-370-5","10.22360/SpringSim.2020.Mod4Sim.002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185444","Simulation;HLA;FOM;Model Transformation;MDA;Acceleo","Unified modeling language;Data models;Tools;Analytical models;Libraries;Standards","","2","","20","","3 Sep 2020","","","IEEE","IEEE Conferences"
"A Hierarchical Deliberative Architecture Framework based on Goal Decomposition","C. Lesire; R. Bailon-Ruiz; M. Barbier; C. Grand","ONERA/DTIS, University of Toulouse, France; ONERA/DTIS, University of Toulouse, France; ONERA/DTIS, University of Toulouse, France; ONERA/DTIS, University of Toulouse, France",2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"26 Dec 2022","2022","","","9865","9870","Performing a complex autonomous mission with a multi-robot system requires to integrate several deliberative approaches to perform task allocation, optimization, and execution control. Implementing such a deliberative architecture is a complex task: it requires the developer to master the decision algorithms themselves (e.g., automated planning models), to have a good knowledge of the involved robotic platforms, and to think about how these elements will be assembled as a system architecture. We propose a framework to help designing such deliberative architectures. The framework relies on the concept of a hierarchical structure of actors, each actor managing goals with specific planning or optimization approaches, and delegating sub-goals to other actors.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981488","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981488","","Codes;Systems architecture;Observers;Planning;Resource management;Multi-robot systems;Task analysis","","1","","34","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Semi-Peaucellier Linkage and Differential Mechanism for Linear Pinching and Self-Adaptive Grasping*","H. Ding; Z. Chen; T. Yang; W. Zhang","Future Technology School, Shenzhen Technology University and Laboratory of Robotics, X-Institute, Shenzhen, China; Future Technology School, Shenzhen Technology University, Shenzhen, China; Future Technology School, Shenzhen Technology University, Shenzhen, China; Laboratory of Robotics, X-Institute, Shenzhen, China",2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),"23 Sep 2025","2025","","","3441","3446","This paper presents the SP-Diff parallel gripper system, addressing the limited adaptability of conventional end-effectors in intelligent industrial automation. The proposed design employs an innovative differential linkage mechanism with a modular symmetric dual-finger configuration to achieve linear-parallel grasping. By integrating a planetary gear transmission, the system enables synchronized linear motion and independent finger pose adjustment while maintaining structural rigidity, reducing Z-axis recalibration requirements by 30% compared to arc-trajectory grippers. The compact palm architecture incorporates a kinematically optimized parallelogram linkage and Differential mechanism, demonstrating adaptive grasping capabilities for diverse industrial workpieces and deformable objects such as citrus fruits. Future-ready interfaces are embedded for potential force/vision sensor integration to facilitate multimodal data acquisition (e.g., trajectory planning and object deformation) in digital twin frameworks. Designed as a flexible manufacturing solution, SP-Diff advances robotic end-effector intelligence through its adaptive architecture, showing promising applications in collaborative robotics, logistics automation, and specialized operational scenarios.","2161-8089","979-8-3315-2246-9","10.1109/CASE58245.2025.11163785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11163785","","Couplings;Automation;Service robots;Trajectory planning;Fingers;Grasping;Robot sensing systems;End effectors;Synchronization;Grippers","","","","15","IEEE","23 Sep 2025","","","IEEE","IEEE Conferences"
"Knowledge-Based Planning for Human-Robot Collaborative Tasks","A. Angleraud; M. Netzev; R. Pieters","Unit of Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland; Unit of Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland; Unit of Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland",IEEE Access,"2 Jul 2025","2025","13","","110752","110764","Human-robot collaboration is a promising alternative to full automation and manual labour. Collaborative robots are considered safe and individual robot actions can often be easily programmed, for example, by physical hand-guiding. Coordinated collaboration, where tasks and the environment are shared, cannot be so easily achieved, due to continuously changing conditions and actions that need to be triggered at unknown instances. Besides, knowledge required for collaboration is difficult to program into robotic systems. This paper presents a system architecture that aims at facilitating human-robot collaboration by alleviating the need for pre-programmed information and exploring ways to teach new skills. This is done by reducing the amount of information required to program tasks by utilizing a knowledge base that represents knowledge on tasks, actions and the world. Automatic reasoning over conditions and properties of the knowledge is then utilized to generate available actions and action plans in order to complete the shared tasks. Moreover, learning new tasks is enabled by extending the original knowledge base, concatenating available actions and tasks into news bricks of knowledge. Two examples, a kitting task and a handover task, serve to validate the system architecture and exemplify its usage. Experiments demonstrate that by combining reasoning methods and knowledge-based planning, high-level shared tasks can be generated and executed, and robots can act reliable as teammate to human operators.","2169-3536","","10.1109/ACCESS.2025.3583469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11052273","Human-robot collaboration;knowledge-based systems;robot programming","Robots;Ontologies;Knowledge based systems;Service robots;Robot sensing systems;Planning;Assembly;Cognition;Collaborative robots;Human-robot interaction","","","","62","CCBY","26 Jun 2025","","","IEEE","IEEE Journals"
"A Review of PFCP Cyber Attacks in 5G Standalone for Robotic Telesurgery Services","N. Makondo; E. Baloyi; H. I. Kobo; T. E. Mathonsi","Department of Information Technology (IT), Tshwane University of Technology (TUT), Pretoria, South Africa; Security and Defence, Council for Scientific Industrial Research (CSIR), Pretoria, South Africa; Council for Scientific Industrial Research (CSIR), Next Generations Enterprises and Institutions, Pretoria, South Africa; Department of Information Technology (IT), Tshwane University of Technology (TUT), Pretoria, South Africa",2024 International Conference on Next Generation Computing Applications (NextComp),"13 Dec 2024","2024","","","1","7","The emergence of fifth-generation technology (5G) has revolutionised telecommunication networks, offering enhanced mobile broadband, ultra-reliable (eMBB), ultra-low-latency communications (uRLLC), and massive machine-type communication (mMTC) service classes. This breakthrough has garnered significant attention and investment worldwide, driving innovation and growth in the digital era. However, the adoption of cloud-based 5G core (5GC) networks, while offering scalability and deployment flexibility, has posed challenges to meeting stringent latency requirements, particularly for uRLLC services specifically for robotic telesurgery. To address this problem, mobile network operators (MNOs) have turned to edge computing (EC), using the control and user plane separation (CUPS) architecture introduced in the third-generation partnership project (3GPP) release 14 specification. This architecture enables the deployment of the user plane function (UPF) closer to users, reducing latency, and improving quality of service (QoS). However, the deployment of the UPF as a standalone node on the edge of the network exposes the packet forwarding control protocol (PFCP) to cybersecurity attacks, which pose risks to telesurgery services and could even lead to loss of life. In the existing literature, only a few techniques focus on minimising these attacks when the UPF is deployed on the edge of the network far from the 5GC. Therefore, this paper reviews PFCP attacks and explores machine learning (ML) techniques to mitigate these security threats. This paper further provides recommendations and future research directions for mitigating these attacks.","","979-8-3315-1740-3","10.1109/NextComp63004.2024.10779903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10779903","5G;CUPS;uRLLC;UPF;PFCP Attacks;Telesurgery","Protocols;Accuracy;Reviews;Computational modeling;Quality of service;Machine learning;Computer architecture;Ultra reliable low latency communication;Vectors;Robots","","","","37","IEEE","13 Dec 2024","","","IEEE","IEEE Conferences"
"Design, Modeling and Validation of a Tendon-Driven Soft Continuum Robot for Planar Motion Based on Variable Stiffness Structures","W. R. Wockenfuß; V. Brandt; L. Weisheit; W. -G. Drossel","Fraunhofer Institute for Machine Tools and Forming Technology, IWU, Dresden, Germany; Fraunhofer Institute for Machine Tools and Forming Technology, IWU, Dresden, Germany; Fraunhofer Institute for Machine Tools and Forming Technology, IWU, Dresden, Germany; Fraunhofer Institute for Machine Tools and Forming Technology, IWU, Dresden, Germany",IEEE Robotics and Automation Letters,"23 Feb 2022","2022","7","2","3985","3991","Robotic structures based on variable stiffness enable high-performance and flexible motion systems that are inherently safe and thus allow safe Human-Robot Collaboration. This letter presents the design of a robotic structure based on variable stiffness. A robotic manipulator is developed using three variable stiff segments based on particle jamming with a backbone architecture and two tendons for an underactuated motion control of the whole structure. By switching the structural stiffness, the manipulator is able to perform complex planar motion with only one pair of tendons, reducing the number of actuators required. A kinematic modeling approach for the calculation of the forward kinematics of this soft continuum structure is presented, and the validation on the real system is explained. The kinematic simulation is performed with a multibody simulation model (MBS) using rigid body elements in combination with rotational springs. The validation of the model is carried out with visual measurements of the real system using defined target shapes. Simulation and experimental results are discussed and compared also with a common constant curvature model. The developed MBS-model demonstrates a promising modeling approach with a position error lower 3% for the calculation of the presented manipulator under gravity.","2377-3766","","10.1109/LRA.2022.3149031","Fraunhofer Cluster of Excellence Programmable Materials CPM; University of Naples Federico II and the Fraunhofer Institute for Machine Tools and Forming Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706262","Soft robot materials and design;compliant joints and mechanisms;modeling;control;and learning for soft robots;tendon/wire mechanism;kinematics","Tendons;Robots;Springs;Mathematical models;Shape;Manipulators;Kinematics","","43","","25","CCBY","7 Feb 2022","","","IEEE","IEEE Journals"
"On the Design, Modeling and Experimental Verification of a Floating Satellite Platform","A. Banerjee; S. G. Satpute; C. Kanellakis; I. Tevetzidis; J. Haluska; P. Bodin; G. Nikolakopoulos","Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; OHB Sweden AB, Sollentuna, Stockholm, Sweden; Robotics and AI, Department of Computer, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden",IEEE Robotics and Automation Letters,"11 Jan 2022","2022","7","2","1364","1371","In this letter, a floating robotic emulation platform is presented with an autonomous maneuverability for a virtual demonstration of a satellite motion. Such a robotic platform design is characterized by its friction-less, levitating, yet planar motion over a hyper-smooth surface. The design of the robotic platform, integrated with the sensor and actuator units, is briefly described, including the related component specification along with the mathematical model, describing its dynamic motion. Additionally, the article establishes a nonlinear optimal control architecture consisting of a unified model predictive approach for the overall manoeuvre tracking. The efficacy of the proposed modeling and control scheme is demonstrated in multiple experimental studies, where it is depicted that the proposed controller has the potential to address a precise point-to-point manoeuvre with terminal objectives, as well as an excellent path following capability. The proposed design is validated with extensive experimental studies, and it is supported with related results.","2377-3766","","10.1109/LRA.2021.3140134","Swedish National Space Agency; Rymd för Innovation och Tillväxt (RIT) Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669017","Space robotics and automation;optimization and optimal control;nonlinear model predictive control;friction-less floating platform;satellite simulator","Attitude control;Aerospace electronics;Space missions;Satellites;Robots;Mathematical models;Space vehicles","","15","","26","IEEE","4 Jan 2022","","","IEEE","IEEE Journals"
"Data-Driven Strategies for Hierarchical Predictive Control in Unknown Environments","C. S. Vallon; F. Borrelli","Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA, USA; Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA, USA",IEEE Transactions on Automation Science and Engineering,"4 Jul 2022","2022","19","3","1434","1445","This article proposes a hierarchical learning architecture for safe data-driven control in unknown environments. We consider a constrained nonlinear dynamical system and assume the availability of state-input trajectories solving control tasks in different environments. In addition to task-invariant system state and input constraints, a parameterized environment model generates task-specific state constraints, which are satisfied by the stored trajectories. Our goal is to use these trajectories to find a safe and high-performing policy for a new task in a new, unknown environment. We propose using the stored data to learn generalizable control strategies. At each time step, based on a local forecast of the new task environment, the learned strategy consists of a target region in the state space and input constraints to guide the system evolution to the target region. These target regions are used as terminal sets by a low-level model predictive controller. We show how to i) design the target sets from past data and then ii) incorporate them into a model predictive control scheme with shifting horizon that ensures safety of the closed-loop system when performing the new task. We prove the feasibility of the resulting control policy, and apply the proposed method to robotic path planning, racing, and computer game applications. Note to Practitioners—This paper was motivated by the challenge of designing safe controllers for autonomous systems navigating through new environments. We consider scenarios where trajectory data from control tasks in different environments is available to the control designer. Possible applications include autonomous vehicles racing on new tracks or robotic manipulators performing tasks in the presence of new obstacles. Existing approaches to model-based control design for new environments generally use trajectory libraries, systematically adapting stored trajectories to the constraints of the new environment. This typically requires a priori knowledge of the entire task environment as well as resources to store and maintain the growing library. This paper suggests a new hierarchical control approach, in which stored trajectories are used to learn high-level strategies that can be applied while solving the new task. The strategies are learned offline, and only the parameterized strategy function needs to be stored for online control. Strategies only require knowledge of the nearby task environment, and provide navigation guidelines for the system. In this paper we show how to find such strategies from previous task data and how to integrate them into a low-level controller to safely and efficiently solve the new task. We also show how to adapt the modular framework as needed for a user’s desired application. Simulation experiments in robotic manipulator, autonomous vehicle, and computer game examples suggest that our approach can be used in a wide range of applications. In future research, we will address how to adapt the method for time-varying or stochastic environments.","1558-3783","","10.1109/TASE.2021.3137769","National Physical Science Consortium; National Institute of Standards and Technology; Office of Naval Research(grant numbers:ONR-N00014-18-1-2833); National Science Foundation(grant numbers:NSF-1931853); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9675285","Learning;hierarchical control;model predictive control","Task analysis;Trajectory;Aerospace electronics;Predictive control;Adaptation models;Target tracking;Navigation","","13","","48","IEEE","10 Jan 2022","","","IEEE","IEEE Journals"
"Visual-tactile Sensing for Real-time Liquid Volume Estimation in Grasping","F. Zhu; R. Jia; L. Yang; Y. Yan; Z. Wang; J. Pan; W. Wang","School of Robotics, Xi'an-Jiaotong Liverpool University; Department of Computer Science, The University of Hong Kong; Department of Computer Science, The University of Hong Kong; Department of Biomedical Engineering, City University of Hong Kong; Department of Mechanical and Energy Engineering, Southern University of Science and Technology; Department of Computer Science, The University of Hong Kong; Department of Computer Science, The University of Hong Kong",2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"26 Dec 2022","2022","","","12542","12549","We propose a deep visuo-tactile model for real-time estimation of the liquid inside a deformable container in a proprioceptive way. We fuse two sensory modalities, i.e., the raw visual inputs from the RGB camera and the tactile cues from our specific tactile sensor without any extra sensor calibrations. The robotic system is well controlled and adjusted based on the estimation model in real time. The main contributions and novelties of our work are listed as follows: 1) Explore a proprioceptive way for liquid volume estimation by developing an end-to-end predictive model with multi-modal convolutional networks, which achieve a high precision with an error of ~ 2 ml in the experimental validation. 2) Propose a multi-task learning architecture which comprehensively considers the losses from both classification and regression tasks, and comparatively evaluate the performance of each variant on the collected data and actual robotic platform. 3) Utilize the proprioceptive robotic system to accurately serve and control the requested volume of liquid, which is continuously flowing into a deformable container in real time. 4) Adaptively adjust the grasping plan to achieve more stable grasping and manipulation according to the real-time liquid volume prediction.","2153-0866","978-1-6654-7927-1","10.1109/IROS47612.2022.9981153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981153","","Visualization;Adaptation models;Propioception;Magnetic liquids;Grasping;Containers;Predictive models","","10","","23","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Efficient and Feasible Robotic Assembly Sequence Planning via Graph Representation Learning","M. Atad; J. Feng; I. Rodríguez; M. Durner; R. Triebel","Department of Informatics, Technical University of Munich, Garching, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany",2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"13 Dec 2023","2023","","","8262","8269","Automatic Robotic Assembly Sequence Planning (RASP) can significantly improve productivity and resilience in modern manufacturing along with the growing need for greater product customization. One of the main challenges in realizing such automation resides in efficiently finding solutions from a growing number of potential sequences for increasingly complex assemblies. Besides, costly feasibility checks are always required for the robotic system. To address this, we propose a holistic graphical approach including a graph representation called Assembly Graph for product assemblies and a policy architecture, Graph Assembly Processing Network, dubbed GRACE for assembly sequence generation. With GRACE, we are able to extract meaningful information from the graph input and predict assembly sequences in a step-by-step manner. In experiments, we show that our approach can predict feasible assembly sequences across product variants of aluminum profiles based on data collected in simulation of a dual-armed robotic system. We further demonstrate that our method is capable of detecting infeasible assemblies, substantially alleviating the undesirable impacts from false predictions, and hence facilitating real-world deployment soon. Code and training data are available at https://github.com/DLR-RM/GRACE.","2153-0866","978-1-6654-9190-7","10.1109/IROS55552.2023.10342352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342352","","Robotic assembly;Representation learning;Three-dimensional displays;Aluminum;Training data;Solids;Planning","","10","","36","IEEE","13 Dec 2023","","","IEEE","IEEE Conferences"
